,utterance,intent
20062,Say the weather forecast for India,Get Weather.
20063,Weather in Canada please?,Get Weather.
20064,How's the weather looking in the USA,Get Weather.
20065,Australian weather report please,Get Weather.
20066,Weather for Spain,Get Weather.
20067,Please give me the weather forecast for Australia.,Get Weather.
20068,What's the weather going to be like in Japan?,Get Weather.
20069,In Japan what's the weather like?,Get Weather.
20070,How's the weather over in England?,Get Weather.
20071,Can you show me the weather in Japan?,Get Weather.
20072,What did they forecast for Wales?,Get Weather.
20073,"Australia's forecast, thanks.",Get Weather.
20074,"Predicted Weather for Canada, please.",Get Weather.
20075,What's Australia's weather?,Get Weather.
20076,Let me know the forecast for Brazil.,Get Weather.
20077,Tell me what weather to expect in New Zealand.,Get Weather.
20078,How's the weather in India?,Get Weather.
20079,I need to know Indian weather conditions.,Get Weather.
20080,Give me the weather in Greece,Get Weather.
20081,What's the weather like in Lithuania?,Get Weather.
20082,How is the weather in Venezuela?,Get Weather.
20083,What's Peru's weather,Get Weather.
20084,"Scottish weather, please",Get Weather.
20085,Forecast for Luxembourg,Get Weather.
20086,Display weather in Spain,Get Weather.
20087,Give me the forecast for Italy,Get Weather.
20088,I want the weather in Lichtenstein,Get Weather.
20089,what's the weather like in Canada?,Get Weather.
20090,Can I get the weather in England?,Get Weather.
20091,What's the weather like in Fiji?,Get Weather.
20092,What's the weather like in England?,Get Weather.
20093,How is the weather looking in New Zealand?,Get Weather.
20094,Can you tell me what the weather is like in China?,Get Weather.
20095,"Currently in Russia, give me a forecast",Get Weather.
20096,Could you please tell me about the weather forecast in Montenegro.,Get Weather.
20097,"Hi Conversational Bot, how is it like outside in New Zealand?",Get Weather.
20098,Display the weather in New Zealand,Get Weather.
20099,Please tell me the weather in South Africa,Get Weather.
20100,Need to see Australia’s weather,Get Weather.
20101,Give me the forecast for UK,Get Weather.
20102,Let me know the weather for Estonia,Get Weather.
20103,Please update me on the weather for Estonia,Get Weather.
20104,What is the weather in China,Get Weather.
20105,Can you tell me the weather in Russia,Get Weather.
20106,Whats the weather in Australia?,Get Weather.
20107,What's the weather in Finland,Get Weather.
20108,Show me the weather in England,Get Weather.
20109,Get me the weather for New Zealand please.,Get Weather.
20110,Can you tell me the weather in the UK?,Get Weather.
20111,How's the weather in Germany?,Get Weather.
20112,Please indicate climate  in Qatar.,Get Weather.
20113,Weather in Kuwait please.,Get Weather.
20114,Show me the weather situation in Afghanistan.,Get Weather.
20115,Weather forecast for New Zealand,Get Weather.
20116,Give me New Zealand's weather outlook,Get Weather.
20117,Update me on the weather for New Zealand,Get Weather.
20118,How is the weather in Georgia?,Get Weather.
20119,Can I have the weather for Mongolia?,Get Weather.
20120,What is the likelihood of rain today?,Get Weather.
20121,Could you tell me the weather in Australia?,Get Weather.
20122,Talk me through the weather details in France,Get Weather.
20123,What is the weather like in China?,Get Weather.
20124,How's the weather in New Zealand?,Get Weather.
20125,What's the weather doing in Ukraine?,Get Weather.
20126,Is it snowing in China?,Get Weather.
20127,any rain in vanuatu,Get Weather.
20128,how hot is samoa today,Get Weather.
20129,What is the weather in Italy?,Get Weather.
20130,Can you tell me the weather in South Africa?,Get Weather.
20131,I need to know the weather in Canada.,Get Weather.
20132,What is the weather like in Germany?,Get Weather.
20133,"Provide me with a weather forecast fo India, please",Get Weather.
20134,"What is the weather for France, please",Get Weather.
20135,Weather for Italy,Get Weather.
20136,How's the weather in Fiji?,Get Weather.
20137,Tell me the weather in the Ukraine,Get Weather.
20138,Australia's weather thanks.,Get Weather.
20139,Give me the forecast for Thailand,Get Weather.
20140,Whats the weather forecast for Peru?,Get Weather.
20141,China weather please,Get Weather.
20142,can you confirm the weather in Thailand,Get Weather.
20143,"Fiji, what is the weather",Get Weather.
20144,Let me see the weather in Ireland,Get Weather.
20145,What is the expected weather for Australia?,Get Weather.
20146,Tell me the weather in Singapore,Get Weather.
20147,The weather in Australia please,Get Weather.
20148,Please tell me the weather for Canada,Get Weather.
20149,Whats Russias forecast please,Get Weather.
20150,what's it like in new zealand,Get Weather.
20151,forecast for england please,Get Weather.
20152,give me the weather for japan,Get Weather.
20153,What's the weather for Suriname?,Get Weather.
20154,Can I have the forecast for Lithuania?,Get Weather.
20155,Forecast of the UAE,Get Weather.
20156,How's the weather in the UK,Get Weather.
20157,What's the forecast for New Zealand,Get Weather.
20158,what's happening weather wise in Australia,Get Weather.
20159,Weather in India please?,Get Weather.
20160,Give me a weather update in China?,Get Weather.
20161,Tell me the weather for Italy,Get Weather.
20162,What's the weather like in China right now?,Get Weather.
20163,what's the current China weather?,Get Weather.
20164,What are weather conditions like in China?,Get Weather.
20165,"Tell me what the weather is in Norway, please",Get Weather.
20166,What is the weather like in Portugal currently?,Get Weather.
20167,Could you find me the weather forecast for South Africa?,Get Weather.
20168,India weather details please,Get Weather.
20169,I want a weather forecast for Africathanks,Get Weather.
20170,Could you please give weather information for Italy,Get Weather.
20171,Weather Japan now,Get Weather.
20172,What is the weather forecast for Scotland today?,Get Weather.
20173,how's the weather in Taiwan now?,Get Weather.
20174,What's Australia's weather like?,Get Weather.
20175,Australia's weather please,Get Weather.
20176,Weather for Australia please,Get Weather.
20177,I want to know the weather in Turkey,Get Weather.
20178,Please tell me the weather in Indonesia?,Get Weather.
20179,"Could you tell me the weather in Spain, please.",Get Weather.
20180,Today's weather in New Zealand?,Get Weather.
20181,How's the weather in UK?,Get Weather.
20182,Australian weather forecast?,Get Weather.
20183,What's the weather like in China right now?,Get Weather.
20184,"New Zealand is cold right now, right?",Get Weather.
20185,How hot is it in America?,Get Weather.
20186,"Japan's weather, please",Get Weather.
20187,How's the weather in New Zealand?,Get Weather.
20188,"Weather, Australia",Get Weather.
20189,What's the weather like in Argentina?,Get Weather.
20190,Tell me how the weather is in America,Get Weather.
20191,What is the temperature like in Greece now,Get Weather.
20192,Whats the weather like in Mauritius now,Get Weather.
20193,Please tell me what the forecast is in Spain,Get Weather.
20194,What is the weather like in Germany,Get Weather.
20195,Give me the weather details for New Zealand,Get Weather.
20196,Tell me the forecast for Australia,Get Weather.
20197,How's the weather in Italy,Get Weather.
20198,What's the weather like in Tanzania?,Get Weather.
20199,Tell me about the weather in Sri Lanka,Get Weather.
20200,How is the weather on Friday?,Get Weather.
20201,Give weather details for 5 days from now.,Get Weather.
20202,mention the weather on 15th June?,Get Weather.
20203,Let me know the weather on friday,Get Weather.
20204,What will be the weather on saturday,Get Weather.
20205,What will the weather be like tomorrow?,Get Weather.
20206,is it going to be nice on valentines day?,Get Weather.
20207,how's the weather for my birthday on friday,Get Weather.
20208,What will the weather be like on the 10th June?,Get Weather.
20209,Please tell me the weather for the 11th June.,Get Weather.
20210,Please let me know the weather for the Queen's birthday holiday.,Get Weather.
20211,Tell me the weather forecast on coming Sunday.,Get Weather.
20212,I want to know weather information on next Sunday.,Get Weather.
20213,How is the weather would like be on 6 days from now?,Get Weather.
20214,What's the forecast for Tuesday?,Get Weather.
20215,How is the weather looking for the 16th?,Get Weather.
20216,Weather forecast for New Years Eve.,Get Weather.
20217,May I know how the weather looks like in next 2 days,Get Weather.
20218,How's it looking for Christmas?,Get Weather.
20219,Can you please give me tomorrow's forecast?,Get Weather.
20220,How will the weather be on the 15th?,Get Weather.
20221,get me the weather forecast for next Monday,Get Weather.
20222,what will the weather be on Easter Sunday?,Get Weather.
20223,tell me the weather forecast for June 6th,Get Weather.
20224,Tell me the forecast for Tuesday?,Get Weather.
20225,What is the forecast for Monday?,Get Weather.
20226,What will the weather be like on Tuesday,Get Weather.
20227,What's the forecast going to be like for the 20th of April?,Get Weather.
20228,What's the weather like on Friday week?,Get Weather.
20229,How's the weather looking for two days from now?,Get Weather.
20230,Weather for Christmas day,Get Weather.
20231,30th December weather,Get Weather.
20232,Tomorrow's weather.,Get Weather.
20233,What is the weather forecast for this weekend?,Get Weather.
20234,How will the weather be on Friday,Get Weather.
20235,Whats the weather forecast this week?,Get Weather.
20236,What is the weather forecast for Saturday?,Get Weather.
20237,Tell me the weather for Monday next week.,Get Weather.
20238,What is the forecast for New Year's Eve?,Get Weather.
20239,What's the forecast for Saturday?,Get Weather.
20240,What will the weather be like on bank holiday?,Get Weather.
20241,Tell me tomorrow's weather.,Get Weather.
20242,What will the forecast be for Easter Sunday?,Get Weather.
20243,What weather will we get on Friday?,Get Weather.
20244,Tell me the weather for Easter.,Get Weather.
20245,What's the weather going to be like tomorrow?,Get Weather.
20246,What's the weekends weather?,Get Weather.
20247,Could I please know the weather for Friday?,Get Weather.
20248,What is the weather prediction for July 4th?,Get Weather.
20249,How is the weather looking for Sunday?,Get Weather.
20250,weather this holiday,Get Weather.
20251,weather boxing day,Get Weather.
20252,What is the weather forecast for Friday,Get Weather.
20253,What is the weather for Easter,Get Weather.
20254,I need the forecast for Tuesday,Get Weather.
20255,Give me the weather for Friday,Get Weather.
20256,What's the weather like next Tuesday?,Get Weather.
20257,What is the weather on friday?,Get Weather.
20258,What's the forecast like for the 8th of June?,Get Weather.
20259,Tell me what the weather is going to be like for Christmas,Get Weather.
20260,How's the weather looking tomorrow?,Get Weather.
20261,Tell me the weather details for tomorrow,Get Weather.
20262,"What is the forecast for Wednesday, Please?",Get Weather.
20263,What is the weather going to be in 5 days?,Get Weather.
20264,"On the March 12th, what will the weather be like?",Get Weather.
20265,Inform me of the weather in 2 days time,Get Weather.
20266,Over Australia day tell me the weather forecast,Get Weather.
20267,How will the weather be on mothers day?,Get Weather.
20268,So what's up with the weather next monday?,Get Weather.
20269,Can you show me the weather update for 20th may please.,Get Weather.
20270,Tell me what the weather will be like on July 8th?,Get Weather.
20271,What is the forecast for Easter?,Get Weather.
20272,Can you tell me what the weather will be on Easter Sunday?,Get Weather.
20273,Weather forecast for Friday please.,Get Weather.
20274,I have to know what the weather is going to be like on the 25th of March.,Get Weather.
20275,I want to know the weather on Christmas Day,Get Weather.
20276,Show me tomorrow's weather,Get Weather.
20277,Please tell me what the weather will be like on Monday,Get Weather.
20278,What's the weather like tomorrow?,Get Weather.
20279,Can I have the weather for next Saturday please?,Get Weather.
20280,I need the weather for Thursday,Get Weather.
20281,Please tell me the weather forecast for Saturday?,Get Weather.
20282,What is the weather looking like for the 15th June?,Get Weather.
20283,What will the weather be like on Friday?,Get Weather.
20284,What weather is expected for Friday?,Get Weather.
20285,Tell me the weather on Saturday,Get Weather.
20286,I need the weather forecast for tomorrow,Get Weather.
20287,Hows the weather tomorrow?,Get Weather.
20288,Let me know the weather forecast for tomorrow,Get Weather.
20289,Will it rain on Tuesday?,Get Weather.
20290,What is tomorrow's forecast?,Get Weather.
20291,How cold will it be on Superbowl Sunday?,Get Weather.
20292,Tell me the weather on dashain,Get Weather.
20293,What temperature will it be tomorrow,Get Weather.
20294,What is the temperature on Monday,Get Weather.
20295,Please tell me the weather on Monday,Get Weather.
20296,"Next Friday, the weather is what?",Get Weather.
20297,In three days the weather is what?,Get Weather.
20298,What will it be like tomorrow?,Get Weather.
20299,"Weather forecast, 6th August",Get Weather.
20300,Saturdays weather forecast please,Get Weather.
20301,What's the weather forecast for Wednesday?,Get Weather.
20302,What is the weather like tomorrow?,Get Weather.
20303,What is the weather forecast for Christmas?,Get Weather.
20304,What is the forecast for the Queens Birthday,Get Weather.
20305,Can you give me the weather prediction for Sunday,Get Weather.
20306,How is the weather going to be in a week,Get Weather.
20307,What's the weather like on Monday?,Get Weather.
20308,Tell me what is the weather forecast for Tuesday?,Get Weather.
20309,What will the weather be like in New York on Saturday?,Get Weather.
20310,What is the forecast for Christmas Day?,Get Weather.
20311,Tell me the weather for the next three days.,Get Weather.
20312,Tell me what the weather will be like in 3 days?,Get Weather.
20313,"Weather on June 10, please",Get Weather.
20314,What is the weather going to be like tomorrow?,Get Weather.
20315,What will be the weather on Anzac Day?,Get Weather.
20316,what will the weather be on sunday,Get Weather.
20317,How will be the weather five days from now,Get Weather.
20318,What is the forecast for Sunday,Get Weather.
20319,What is Friday's forecast,Get Weather.
20320,Give me the forecast for Friday,Get Weather.
20321,can you tell me what the weather will be like on Thursday,Get Weather.
20322,"Please tell me the forecast is for 10 January, ta.",Get Weather.
20323,What's the weather prediction for tomorrow?,Get Weather.
20324,Valentine's Day weather forecast please.,Get Weather.
20325,weather on Monday. please,Get Weather.
20326,What is the forecast for Friday?,Get Weather.
20327,"Wednesday forecast, please",Get Weather.
20328,What will Saturday's weather be like?,Get Weather.
20329,Tell me about tomorrow's weather,Get Weather.
20330,How is christmas day's weather looking?,Get Weather.
20331,whats the weather gonna be on sunday,Get Weather.
20332,whats the forecast for easter,Get Weather.
20333,What will the weather conditions be like for tomorrow?,Get Weather.
20334,"Give me the weather forecast for Australia Day, please.",Get Weather.
20335,I want to know the weather for the 20th of July.,Get Weather.
20336,How's the weather looking for Sunday?,Get Weather.
20337,Tell me how the weather will be for Easter.,Get Weather.
20338,Tell me about the weather in one week.,Get Weather.
20339,What's the weather forecast for Saturday?,Get Weather.
20340,What kind of weather can we expect tomorrow?,Get Weather.
20341,Weather for the 8th June please.,Get Weather.
20342,What's the forecast for Sunday?,Get Weather.
20343,Tell me what the weather will be like next week,Get Weather.
20344,What will the weather be like next week?,Get Weather.
20345,Can I see the forecast for the next 10 days?,Get Weather.
20346,Could you provide me the next 10 days forecast?,Get Weather.
20347,I want to know the forecast for the next 10 days,Get Weather.
20348,what is the weather for this coming friday?,Get Weather.
20349,What will the weather be like this weekend?,Get Weather.
20350,what was the weather last sunday,Get Weather.
20351,So how is the weather looking for Valentine's day,Get Weather.
20352,What sort of weather will be having this weekend,Get Weather.
20353,What's the forecast for Tuesday,Get Weather.
20354,What is the weather forecast for Easter Monday,Get Weather.
20355,Will it rain on New Years Eve?,Get Weather.
20356,What is the weather forecast 1 week from today?,Get Weather.
20357,What's the weather like this Sunday?,Get Weather.
20358,Tell me the forecast for Boxing Day.,Get Weather.
20359,How's the weather for two Fridays from now?,Get Weather.
20360,What will the weather be on Saturday?,Get Weather.
20361,Please give me the weather for Monday,Get Weather.
20362,What is the forecast for next Monday?,Get Weather.
20363,Weather Christmas day.,Get Weather.
20364,What will the weather be like on May 12th?,Get Weather.
20365,highlight the weather forecast for Sunday,Get Weather.
20366,how will be the weather  after 10 days?,Get Weather.
20367,may i know the weather change after 7 days?,Get Weather.
20368,Tell me the weather for next Thursday.,Get Weather.
20369,Tell me the weather forecast for Wednesday.,Get Weather.
20370,What's the weather on Tuesday?,Get Weather.
20371,What is the weather for New Year's Day?,Get Weather.
20372,I want to know the weather for Easter Sunday please,Get Weather.
20373,Tell me the weather for Australia Day please,Get Weather.
20374,Hows the weather going to be like on Friday.,Get Weather.
20375,I want to the weather on Sunday.,Get Weather.
20376,What's the weather forecast for Sunday?,Get Weather.
20377,How's the likely to be in two days' time?,Get Weather.
20378,Report the weather forecast for Sunday,Get Weather.
20379,Check the weather details for next Tuesday,Get Weather.
20380,What will be the weather like for next Wednesday?,Get Weather.
20381,tell me the weather for saturday,Get Weather.
20382,How will the weather be this weekend?,Get Weather.
20383,What till the weather be like on Sunday?,Get Weather.
20384,What will the weather be at Easter,Get Weather.
20385,please inform me on fridays forecast,Get Weather.
20386,what does the weather look ike for next monday,Get Weather.
20387,Will it rain on Saturday?,Get Weather.
20388,Is next week sunny?,Get Weather.
20389,What's the weather on November 11?,Get Weather.
20390,Show me the weatehr for Christmas,Get Weather.
20391,Display Friday's forecast,Get Weather.
20392,Can you give me the forescast for next Saturday,Get Weather.
20393,What is the weather forecast for New years eve ?,Get Weather.
20394,Show me the weather on 9th of June,Get Weather.
20395,What is the weather like on Christmas day ?,Get Weather.
20396,What's the forecast for Christmas Day,Get Weather.
20397,What's the forecast for this Saturday,Get Weather.
20398,Give me the weather for the weekend,Get Weather.
20399,Tell me the weather forecast for Saturday,Get Weather.
20400,What is the weather predicted for 5 July,Get Weather.
20401,How's the weather looking for next Thursday?,Get Weather.
20402,What's the forecast for next Tuesday?,Get Weather.
20403,What will the weather be like in two days' time?,Get Weather.
20404,Weather forecast for Saturday,Get Weather.
20405,On Monday what will the weather be like?,Get Weather.
20406,Give me the weather for Mother's day.,Get Weather.
20407,What kind of weather will we have on Friday?,Get Weather.
20408,"Weather for Monday, Thanks.",Get Weather.
20409,What Weather have they Predicted for Australia Day?,Get Weather.
20410,What's the Weather Forecast for Tuesday?,Get Weather.
20411,What's tomorrow's weather?,Get Weather.
20412,What weather should I expect on New Year's Day?,Get Weather.
20413,A weather report for Sunday would be great.,Get Weather.
20414,How's the weather looking in 2 days time?,Get Weather.
20415,Display Wednesday's weather please.,Get Weather.
20416,Can you show me the weather forecast for the 19th of April?,Get Weather.
20417,Next Monday's forecast please,Get Weather.
20418,On Labour Day what will the weather be like?,Get Weather.
20419,What's the forecast for Valentine's Day?,Get Weather.
20420,Show me the weather for the next week,Get Weather.
20421,Display 5 day forecast,Get Weather.
20422,give me the weather for the 20th of July,Get Weather.
20423,what's the forecast like for next Friday?,Get Weather.
20424,Whats the weather going to be on January 1st?,Get Weather.
20425,Can I get Mondays forecast?,Get Weather.
20426,Sunday the 16th weather forecast.,Get Weather.
20427,What's the weather for next Monday look like?,Get Weather.
20428,Please tell me the weather for the 20th June.,Get Weather.
20429,What's the weather to be on Tuesday?,Get Weather.
20430,"Halloween this year, what is the weather going to be like?",Get Weather.
20431,Give me a forecast for July 29th,Get Weather.
20432,How will it be like outside on Queens Birthday?,Get Weather.
20433,Please tell me about the weather on the 26th.,Get Weather.
20434,What is the weather forecast looking like on the AFL grand final?,Get Weather.
20435,What will the weather be this Saturday?,Get Weather.
20436,Display next Sunday’s weather,Get Weather.
20437,Weather forecast for 16August,Get Weather.
20438,Let me know what kind of weather to expect on Friday,Get Weather.
20439,In 3 days what will the weather be like?,Get Weather.
20440,Give me the forecast for tomorrow,Get Weather.
20441,How will the weather be on Good Friday 2020?,Get Weather.
20442,Whats the weather for Christmas this year?,Get Weather.
20443,Tell me the weather forecast for Sunday.,Get Weather.
20444,What's the weather on Friday,Get Weather.
20445,Tell me what the weather will be in two days?,Get Weather.
20446,What's the weather going to be like on Tuesday?,Get Weather.
20447,How's the weather looking in a week's time?,Get Weather.
20448,Whats the forecast for New Years day?,Get Weather.
20449,"Hey, please illustrate tomorrows weather forecast.",Get Weather.
20450,Give me Friday's weather,Get Weather.
20451,Let me have the forecast for tomorrow,Get Weather.
20452,How is the weather going to be next Saturday?,Get Weather.
20453,Can I have the weather for next Christmas?,Get Weather.
20454,What weather will we have on Monday?,Get Weather.
20455,Will the weather be suitable for sailing on the harbour this coming weekend?,Unsupported Weather.
20456,Will I need an umbrella for work on Friday?,Get Weather.
20457,What's the weather gonna be like on the Queen's birthday?,Get Weather.
20458,How's the weather gonna be in two days?,Get Weather.
20459,Will it be sunny for Christmas?,Get Weather.
20460,How cold will it be next Tuesday?,Get Weather.
20461,any rain on the 20th,Get Weather.
20462,how hot on june 30,Get Weather.
20463,Can you tell me the weather prediction for Christmas?,Get Weather.
20464,I need the weather update for Valentine's Day.,Get Weather.
20465,"Tell me the weather for Friday, 20th of June, please",Get Weather.
20466,weather for friday,Get Weather.
20467,weather for saturday,Get Weather.
20468,what is the forecast for monday,Get Weather.
20469,Give me the weather for Saturday the 2nd.,Get Weather.
20470,Can i have the forecast for this weekend?,Get Weather.
20471,Will the weather be fine tomorrow?,Get Weather.
20472,Tell me the weather for Monday?,Get Weather.
20473,What is the weather for Sunday?,Get Weather.
20474,"5th January, what is the weather?",Get Weather.
20475,Show me the weather for June 20th,Get Weather.
20476,Let me see the weather for next Monday,Get Weather.
20477,"Please, tell me what is the expected weather for next Saturday",Get Weather.
20478,Please tell me what the weather will be like next saturday,Get Weather.
20479,Whats the weather like in five days,Get Weather.
20480,Please tell me what the weather will be like in 7 days,Get Weather.
20481,how's it looking for next wednesday,Get Weather.
20482,"what does the 28th of november look like, weather wise",Get Weather.
20483,What will be the weather on Thursday?,Get Weather.
20484,What's the weather for 3 days' time?,Get Weather.
20485,Can I have the weather for Thanksgiving?,Get Weather.
20486,How's the weather looking for Friday,Get Weather.
20487,What's the forecast for Good Friday,Get Weather.
20488,What will the weather be on the 15th of january,Get Weather.
20489,Weather forecast for Sunday please,Get Weather.
20490,What will be the weather on labour day?,Get Weather.
20491,Weather on 25th June please,Get Weather.
20492,what will the weather by like on Saturday?,Get Weather.
20493,What will the weather be like on Friday?,Get Weather.
20494,What is the weather for March 5th?,Get Weather.
20495,Could you find out what the weather is going to be like next Thursday?,Get Weather.
20496,Tell me what the weather forecast is on Monday,Get Weather.
20497,Find out the weather forecast for 3 days from now,Get Weather.
20498,what is the weather going to be like for Easter Sunday,Get Weather.
20499,I need a forecast for the 6th September thanks,Get Weather.
20500,Could you forecast the weather for two days time,Get Weather.
20501,Weather here 10th June,Get Weather.
20502,Weather forecast for tomorrow and Friday,Get Weather.
20503,I would like to know the weather forecast for 7 days' time please,Get Weather.
20504,What's it like tomorrow?,Get Weather.
20505,Tell me what the weather is on Christmas Eve,Get Weather.
20506,"Give me the forecast for New Years day, please",Get Weather.
20507,Tell me what the weather be on Saturday?,Get Weather.
20508,Please tell me the weather on Christmas day.,Get Weather.
20509,What's the weather like on Monday?,Get Weather.
20510,How's the weather over the Easter long weekend?,Get Weather.
20511,Will it be fine on Christmas Day?,Get Weather.
20512,What's the forecast for a week from today?,Get Weather.
20513,what's the weather going to be like in 3 days,Get Weather.
20514,will it be cold on Thursday?,Get Weather.
20515,"Today's weather, please",Get Weather.
20516,Give me the forecast for Wednesday,Get Weather.
20517,How does it look for June 23?,Get Weather.
20518,How will the weather be on Thursday?,Get Weather.
20519,"Weather, 5 days from now",Get Weather.
20520,"Weather, 4th of March",Get Weather.
20521,Please tell me what the forecast is in 7 days time,Get Weather.
20522,What is the temperature usually like over Christmas,Unsupported Weather.
20523,What is the weather looking like for 25th June,Get Weather.
20524,What is the forecast for sunday,Get Weather.
20525,What will the weather be like on Friday,Get Weather.
20526,Give me the weather forecast for Easter,Get Weather.
20527,What will the weather be on Christmas?,Get Weather.
20528,What will the weather be for July 12th?,Get Weather.
20529,Say the weather in Delhi please?,Get Weather.
20530,Tell me the weather in New York,Get Weather.
20531,"let me know the weather in jhapa, nepal.",Get Weather.
20532,What's the weather like on the central coast?,Get Weather.
20533,What is the weather forecast in New South Wales?,Get Weather.
20534,What is the weather like in Tamil Nadu?,Get Weather.
20535,What is the weather like in midwest Western Australia?,Get Weather.
20536,How is the weather like in Arkanzas?,Get Weather.
20537,Weather in north east please?,Get Weather.
20538,Please tell me the weather condition in Arkanzas.,Get Weather.
20539,What's the weather looking like for California?,Get Weather.
20540,Weather - New South Wales,Get Weather.
20541,Please give me the weather report for Northern Florida.,Get Weather.
20542,Update me the Victoria weather,Get Weather.
20543,How does Victoria's weather look like,Get Weather.
20544,Give me the latest update on the Victoria's weather,Get Weather.
20545,Have you got the weather for South Island?,Get Weather.
20546,What's it supposed to look like in ACT?,Get Weather.
20547,Can I get the forecast for Northern Rivers?,Get Weather.
20548,get me the weather for the State of Texas,Get Weather.
20549,how's the weather in the New England area?,Get Weather.
20550,tell me the weather in New York State,Get Weather.
20551,What is the forecast for Texas,Get Weather.
20552,Tell me the weather in Victoria,Get Weather.
20553,Can you let me know the weather in Footscray?,Get Weather.
20554,Can you tell me the forecast for Kalgoorlie?,Get Weather.
20555,What's the weather like in North Melbourne?,Get Weather.
20556,Weather in South Australia,Get Weather.
20557,Iowa weather,Get Weather.
20558,Weather in the south of France,Get Weather.
20559,What is the weather in the Hunter Valley?,Get Weather.
20560,What's the forecast for South East Queensland?,Get Weather.
20561,What's the weather forecast for New Hampshire?,Get Weather.
20562,"Weather in Texas, please.",Get Weather.
20563,"Can you tell me the weather for Mawson, Antarctica?",Get Weather.
20564,weather north lakes,Get Weather.
20565,weather snowies,Get Weather.
20566,How's the forecast for the blue mountains,Get Weather.
20567,"Can I have the weather for Okinawa, thanks.",Get Weather.
20568,What's the weather like in Tasmania,Get Weather.
20569,Tell me the weather in NSW Australia,Get Weather.
20570,What is Sydney’s forecast?,Get Weather.
20571,Please give me the weather in Melbourne,Get Weather.
20572,What's the weather forecast for Queensland?,Get Weather.
20573,"Weather for New South Wales, please.",Get Weather.
20574,Can you tell me what the weather's like in Tasmania?,Get Weather.
20575,Could you tell me the weather of Colorado?,Get Weather.
20576,Let me know the weather in Texas,Get Weather.
20577,Whats the weather currently like in Missouri,Get Weather.
20578,What are the weather patterns for Southern Africa today,Get Weather.
20579,What is Western Australia's weather like?,Get Weather.
20580,Update me on the weather on New Zealnd's South Island,Get Weather.
20581,How is the weather in California?,Get Weather.
20582,Show me the forecast for northern france.,Get Weather.
20583,Tell me about the weather in east asia.,Get Weather.
20584,What's the forecast for the coast of Cornwall?,Get Weather.
20585,Tell me the weather report for the Sunshine Coast,Get Weather.
20586,I want to know the weather in Queensland.,Get Weather.
20587,Could you tell me the weather forecast for Goa?,Get Weather.
20588,Can I have the weather for Trento?,Get Weather.
20589,Enable me to see the weather in NSW,Get Weather.
20590,Make me aware of the weather in Tasmania,Get Weather.
20591,Tell me the weather forecast for Melbourne,Get Weather.
20592,Melbourne weather forecast please,Get Weather.
20593,Give me the weather forecast for Geelong,Get Weather.
20594,What is the weather forecast in Adelaide?,Get Weather.
20595,Will it rain in Sydney today?,Get Weather.
20596,Is rain forecast for Sydney today?,Get Weather.
20597,Please give me the weather for South Australia,Get Weather.
20598,What is the weather like in South Australia?,Get Weather.
20599,Give me the weather for South Australia,Get Weather.
20600,New South Wales weather forecast thanks,Get Weather.
20601,Forecast for New South Wales,Get Weather.
20602,Please can I have the weather outlook for New South Wales?,Get Weather.
20603,Read out the South England forecast please.,Get Weather.
20604,"What's the weather like today in Terengganu, Malaysia?",Get Weather.
20605,Please tell me the forecast in New South Wales?,Get Weather.
20606,The forecast in California is?,Get Weather.
20607,Tell me the weather located in Queensland,Get Weather.
20608,Weather for Texas please,Get Weather.
20609,What's it like in Queensland?,Get Weather.
20610,I'd like to know the weather in Texas.,Get Weather.
20611,Please tell me the forecast for Denmark.,Get Weather.
20612,"Show me the weather for Copenhagen, Denmark.",Get Weather.
20613,Get me the weather report for Queensland,Get Weather.
20614,I need to know the weather in Tasmania,Get Weather.
20615,What's the weather like in the Northern Territory,Get Weather.
20616,Tell me what the weather is like in New South Wales?,Get Weather.
20617,What's the weather like in the Blue Mountains?,Get Weather.
20618,What are the weather forecasts for the Victorian Alpine Region?,Get Weather.
20619,Tell me the weather forecast for Las Vegas.,Get Weather.
20620,What is the weather like in Los Angeles today?,Get Weather.
20621,Share the forecast for New York.,Get Weather.
20622,I want the weather forecast for northwest Queensland,Get Weather.
20623,Describe the current weather in Essex,Get Weather.
20624,What kind of weather are they experiencing in New Zealand?,Get Weather.
20625,Weather in Victoria,Get Weather.
20626,What is the weather in New England?,Get Weather.
20627,Give me the weather in Cowes,Get Weather.
20628,I want the weather for Cowes,Get Weather.
20629,Can you tell me the weather in Cowes,Get Weather.
20630,2pm weather for sydney,Get Weather.
20631,can you tell me the weather for sydney at noon,Get Weather.
20632,afternoon forcast for Perth please,Get Weather.
20633,Weather for south-east Queensland please,Get Weather.
20634,Do you know what the weather for Tasmania is like?,Get Weather.
20635,"What's the prediction for Darwin, NT?",Get Weather.
20636,Is the weather in Darwin still warm?,Get Weather.
20637,Queensland forecast please,Get Weather.
20638,What is the weather doing in New South Wales?,Get Weather.
20639,Tell me about the weather in South Australia please,Get Weather.
20640,tell me hong kong weather,Get Weather.
20641,give me paris forecast,Get Weather.
20642,lima forecast please,Get Weather.
20643,What's the weather like in Victoria?,Get Weather.
20644,"Weather forecast for Carolina, please.",Get Weather.
20645,What is the weather doing in the New England region?,Get Weather.
20646,Tell me the weather for the south coast.,Get Weather.
20647,What's the weather look like for Texas?,Get Weather.
20648,Show me the weather for Texas.,Get Weather.
